TP,EU,Indian,Pacific,Atlantic,GlobeSST,AO,NAO,PNA,nina3.4,nina4,nina3,nina1+2,PC1
0.3750451,0.3601569,-1.442035,-0.6353534,-2.438688,-2.087672,-0.5814307,-0.8022115,-0.8197344,-0.4409046,-0.3391259,-0.5797564,-0.8084683,16.90098
1.01566,0.3752287,0.8494352,-0.8523911,0.5063238,0.271641,-0.8314694,-1.028566,0.364692,2.276933,1.021674,2.904522,3.739453,-7.10108
0.7713717,0.2981115,0.3631797,1.115781,0.7176412,0.8468629,-1.584485,-1.217195,0.8354254,-1.39314,-1.733351,-0.9211647,0.08549049,-12.68495
1.182974,-0.4523688,-0.6706585,1.30618,0.1508671,0.3283615,0.494823,0.8361647,0.5874046,-1.300559,-1.446868,-1.300863,-1.027267,-15.5738
-0.2510211,0.1980188,-0.1650517,0.7428879,0.1495914,0.2681592,-0.6162187,0.06548117,-0.1566581,-0.6690437,-0.8261498,-0.5095599,-0.5740394,-5.420809
-0.7305338,0.1175786,0.2429776,0.7083619,0.8547578,0.8131277,0.6071593,0.03314477,0.3798769,-0.2458287,0.3197873,-0.5701841,-1.027267,-19.74285
0.7174301,1.939648,0.8224462,-0.3263741,0.4669876,0.3777165,-2.128772,-1.648347,0.6430827,1.248648,1.098073,0.9773211,0.4418199,-22.82736
-0.692524,0.6476241,0.5382589,0.4404593,1.29811,1.098057,0.3317543,-0.08542194,-0.03517849,0.3327848,0.5251041,0.3551288,-0.0207852,-27.80795
1.047525,-0.44335,0.04769157,0.3384737,0.7955269,0.6416818,0.7513846,0.1247645,-0.723563,0.7163262,1.112395,0.4891407,0.1417512,3.806152
0.5821764,-0.4500452,-0.2337112,1.278315,-0.8140513,-0.2634906,0.7818241,-0.2578826,0.7595007,-0.2392145,0.07627805,-0.5223219,-1.114788,-39.9329
0.5139218,1.311218,0.4776472,0.3933201,1.215268,1.018418,0.08461455,-1.750745,-1.027262,0.7460824,1.164917,0.83693,0.838787,-44.03544
-0.4710011,-0.4192905,-0.2187241,1.071269,0.7580397,0.7614231,0.04475329,1.132581,1.366899,-1.343543,-1.146055,-1.406154,-1.364845,21.3711
0.8729641,-0.2314402,0.5667928,1.23349,0.7071338,0.9059757,1.057954,0.4912434,1.422577,-0.3549395,-0.8595747,0.05839119,0.3011629,-9.960578
1.556209,1.323487,1.348129,0.004698365,0.4468662,0.5422596,-0.1357094,0.3349509,0.8202404,0.9907549,1.336809,0.817787,0.3199159,-66.73077
0.4515629,1.297234,0.2151419,1.394943,0.8131815,0.9595613,-1.224284,-1.718409,1.098632,-1.637811,-2.124879,-1.393394,-1.239817,-46.27828
1.169966,-0.5787541,0.6765469,1.411171,0.4590004,0.8017263,2.132758,1.445166,-0.2680144,-1.009601,-1.131733,-0.9179733,-0.6928153,-27.45185
-0.3444185,1.355509,0.8851877,0.3284588,1.139623,1.020695,-0.6046227,-1.686072,-1.427132,0.256741,0.4821305,0.0807256,-0.2677179,-17.80529
1.939427,1.446555,0.3514659,0.7353957,0.9285187,0.8896255,1.340606,0.04392358,-0.5970217,-0.1797004,0.03807742,-0.2542998,-0.6959417,14.60943
0.7405942,1.164689,1.062755,0.4915102,1.110381,1.074317,-1.11847,0.6475359,1.174556,0.4848782,0.8593338,0.5242372,0.6699979,15.18729
-0.7331159,0.7400239,2.888176,0.1918541,0.7362381,1.057918,1.122457,1.062519,0.4456783,2.402574,1.795184,2.515254,2.045315,-28.89651
-0.2866592,1.621684,0.5696646,1.003577,1.171345,1.164164,-1.252549,0.6259784,1.437762,-0.6954964,-0.4584953,-0.4872274,0.2792836,-29.69634
0.6410992,1.325974,1.094483,0.9362514,1.148975,1.222711,0.100559,-0.05847494,-1.427132,-0.6558191,-0.2149834,-0.8318215,-0.9209951,-3.978073
2.148208,0.2556955,0.9729978,1.182985,0.4214332,0.7679424,-0.07193151,1.526007,0.7746856,0.7460824,1.25564,0.6103852,0.2355231,-10.95094
