iter	Passed	Remaining
1073	909	3324
1074	909	3321
1075	910	3318
1076	910	3317
1077	911	3315
1078	911	3312
1079	912	3310
1080	912	3307
1081	912	3304
1082	913	3302
1083	913	3299
1084	913	3297
1085	915	3297
1086	915	3295
1087	915	3292
1088	916	3290
1089	917	3289
1090	917	3287
1091	917	3284
1092	918	3283
1093	919	3281
1094	919	3279
1095	919	3276
1096	920	3273
1097	920	3271
1098	920	3268
1099	921	3265
1100	921	3264
1101	922	3261
1102	922	3259
1103	923	3258
1104	923	3256
1105	924	3254
1106	924	3252
1107	925	3249
1108	925	3247
1109	925	3243
1110	926	3243
1111	926	3239
1112	927	3238
1113	927	3235
1114	927	3232
1115	928	3230
1116	928	3228
1117	929	3227
1118	929	3224
1119	930	3221
1120	930	3220
1121	931	3218
1122	931	3217
1123	932	3215
1124	933	3213
1125	933	3212
1126	934	3210
1127	934	3208
1128	934	3205
1129	935	3202
1130	935	3200
1131	936	3200
1132	936	3197
1133	937	3196
1134	937	3193
1135	938	3192
1136	939	3190
1137	939	3188
1138	939	3186
1139	940	3183
1140	940	3181
1141	941	3180
1142	942	3179
1143	942	3176
1144	943	3175
1145	943	3173
1146	944	3171
1147	944	3170
1148	945	3168
1149	945	3165
1150	946	3163
1151	946	3162
1152	946	3159
1153	947	3156
1154	947	3154
1155	947	3151
1156	948	3148
1157	948	3146
1158	948	3143
1159	953	3155
1160	954	3155
1161	955	3154
1162	956	3155
1163	958	3157
1164	960	3162
1165	961	3161
1166	961	3159
1167	962	3157
1168	962	3155
1169	963	3153
1170	963	3150
1171	963	3148
1172	964	3145
1173	965	3144
1174	966	3145
1175	966	3143
1176	967	3141
1177	967	3138
1178	968	3139
1179	970	3143
1180	971	3141
1181	971	3138
1182	971	3136
1183	973	3136
1184	973	3134
1185	974	3132
1186	974	3130
1187	974	3128
1188	975	3126
1189	975	3124
1190	976	3122
1191	976	3120
1192	977	3120
1193	979	3123
1194	983	3131
1195	986	3136
1196	987	3137
1197	988	3136
1198	989	3136
1199	990	3136
1200	992	3138
1201	992	3137
1202	993	3137
1203	995	3139
1204	1000	3150
1205	1002	3155
1206	1004	3155
1207	1006	3160
1208	1008	3162
1209	1009	3163
1210	1011	3164
1211	1013	3166
1212	1015	3169
1213	1016	3169
1214	1018	3172
1215	1019	3172
1216	1020	3172
1217	1021	3171
1218	1021	3168
1219	1024	3174
1220	1025	3175
1221	1027	3176
1222	1028	3175
1223	1031	3182
1224	1032	3182
1225	1033	3181
1226	1034	3182
1227	1036	3182
1228	1037	3183
1229	1037	3181
1230	1038	3180
1231	1038	3177
1232	1040	3178
1233	1040	3175
1234	1044	3183
1235	1045	3182
1236	1047	3187
1237	1051	3194
1238	1053	3199
1239	1054	3198
1240	1057	3202
1241	1060	3208
1242	1061	3208
1243	1061	3206
1244	1062	3203
1245	1062	3201
1246	1062	3199
1247	1063	3197
1248	1063	3195
1249	1064	3192
1250	1064	3190
1251	1064	3188
1252	1065	3186
1253	1066	3185
1254	1066	3182
1255	1067	3181
1256	1067	3178
1257	1068	3178
1258	1069	3176
1259	1069	3174
1260	1069	3172
1261	1070	3169
1262	1071	3170
1263	1071	3167
1264	1072	3165
1265	1072	3163
1266	1073	3161
1267	1073	3160
1268	1074	3158
1269	1074	3156
1270	1074	3153
1271	1075	3151
1272	1075	3148
1273	1076	3146
1274	1076	3145
1275	1076	3142
1276	1077	3140
1277	1078	3142
1278	1079	3141
1279	1080	3139
1280	1080	3136
1281	1080	3134
1282	1081	3131
1283	1081	3129
1284	1081	3127
1285	1082	3125
1286	1082	3124
1287	1083	3123
1288	1084	3120
1289	1084	3118
1290	1084	3116
1291	1085	3114
1292	1085	3112
1293	1086	3110
1294	1086	3108
1295	1086	3105
1296	1087	3104
1297	1088	3104
1298	1089	3103
1299	1089	3100
1300	1089	3098
1301	1090	3096
1302	1090	3094
1303	1091	3092
1304	1092	3091
1305	1093	3091
1306	1093	3089
1307	1093	3087
1308	1094	3084
1309	1094	3083
1310	1095	3081
1311	1096	3080
1312	1096	3079
1313	1096	3076
1314	1097	3074
1315	1097	3071
1316	1097	3069
1317	1098	3067
1318	1099	3067
1319	1099	3066
1320	1100	3064
1321	1100	3062
1322	1100	3059
1323	1101	3058
1324	1101	3056
1325	1102	3055
1326	1103	3053
1327	1104	3053
1328	1104	3051
1329	1105	3049
1330	1105	3048
1331	1106	3045
1332	1106	3044
1333	1107	3044
1334	1108	3042
1335	1108	3040
1336	1109	3039
1337	1110	3038
1338	1111	3038
1339	1112	3038
1340	1112	3036
1341	1113	3035
1342	1114	3035
1343	1115	3033
1344	1115	3032
1345	1116	3029
1346	1116	3027
1347	1117	3027
1348	1117	3024
1349	1118	3023
1350	1118	3021
1351	1118	3019
1352	1119	3018
1353	1120	3016
1354	1120	3014
1355	1121	3012
1356	1121	3011
1357	1121	3008
1358	1123	3010
1359	1124	3010
1360	1125	3008
1361	1125	3007
1362	1126	3006
1363	1126	3004
1364	1127	3002
1365	1127	3000
1366	1128	2998
1367	1129	2998
1368	1129	2996
1369	1130	2994
1370	1131	2993
1371	1131	2991
1372	1131	2990
1373	1132	2988
1374	1132	2986
1375	1132	2983
1376	1133	2982
1377	1133	2979
1378	1134	2977
1379	1134	2976
1380	1135	2974
